,Submission ID,What is your age?,Gender,Where do you typically drink coffee?
112,YZzBLJ,35-44 years old,Female, At home
113,QABNdl,25-34 years old,Male, At home
114,8dpbko,25-34 years old,Male, At home
115,XeB6Ee,25-34 years old,Male, At home
116,XeB6Ee,25-34 years old,Male, At the office
117,KMBroK,25-34 years old,Female, At home
118,KMBroK,25-34 years old,Female, On the go
119,24x9rg,35-44 years old,Male, At home
120,dY2JjD,25-34 years old,Male, At home
121,dY2JjD,25-34 years old,Male, At the office
122,LdMjyz,18-24 years old,Male, At home
123,9dJYM1,55-64 years old,Male, At home
124,9dJYM1,55-64 years old,Male, At the office
125,9dJYM1,55-64 years old,Male, On the go
126,9dJYM1,55-64 years old,Male, At a cafe
127,kYR4rj,25-34 years old,Male, At home
128,kYR4rj,25-34 years old,Male, At the office
129,kYR4rj,25-34 years old,Male, On the go
130,kYR4rj,25-34 years old,Male, At a cafe
131,pLPN7q,35-44 years old,Male, At home
132,pLPN7q,35-44 years old,Male, At a cafe
133,6dQ0eO,25-34 years old,Male, At home
134,6dQ0eO,25-34 years old,Male, At the office
135,42NlLd,25-34 years old,Male, At home
136,42NlLd,25-34 years old,Male, At a cafe
137,LdMxaj,25-34 years old,Male, At home
138,LdMxaj,25-34 years old,Male, At a cafe
139,BGbJZ4,35-44 years old,Male, At home
140,J2kER7,55-64 years old,Male, At home
141,J2kER7,55-64 years old,Male, At the office
142,eBxgQO,25-34 years old,Male, None of these
143,J2kELz,25-34 years old,Non-binary, At home
144,LdMjqJ,35-44 years old,Male, On the go
145,oAVNeM,45-54 years old,Male, At home
146,oAVZ95,35-44 years old,Male, At home
147,oAVZ95,35-44 years old,Male, At the office
148,eBxGvE,25-34 years old,Non-binary, At home
149,eBxGvE,25-34 years old,Non-binary, At the office
150,eBxGvE,25-34 years old,Non-binary, On the go
151,eBxGvE,25-34 years old,Non-binary, At a cafe
152,g5NPYO,25-34 years old,Male, At home
153,g5NPYO,25-34 years old,Male, At the office
154,g5NPYO,25-34 years old,Male, On the go
155,g5NPYO,25-34 years old,Male, At a cafe
156,xdNbxo,45-54 years old,Female, At home
157,xdNbxo,45-54 years old,Female, At a cafe
158,zKQ8ZZ,35-44 years old,Male, At home
159,zKQ8ZZ,35-44 years old,Male, At the office
160,zKQ8ZZ,35-44 years old,Male, On the go
161,zKQ8ZZ,35-44 years old,Male, At a cafe
162,rlrQxl,25-34 years old,Prefer not to say, At home
163,rlrQxl,25-34 years old,Prefer not to say, At the office
164,rlrQxl,25-34 years old,Prefer not to say, At a cafe
165,WAp6PN,25-34 years old,Male, At home
166,WAp6PN,25-34 years old,Male, At the office
167,WAp6PN,25-34 years old,Male, On the go
168,WAp6PN,25-34 years old,Male, At a cafe
169,DVvo9l,25-34 years old,Male, At home
170,DVvo9l,25-34 years old,Male, On the go
171,ylqAdB,>65 years old,Male, At home
172,EPbo0L,35-44 years old,Male, At home
173,EPbo0L,35-44 years old,Male, At the office
174,EPbo0L,35-44 years old,Male, On the go
175,ylqAY6,25-34 years old,Male, At home
176,ylqAY6,25-34 years old,Male, At a cafe
177,AlbR7B,25-34 years old,Male, At home
178,EPbVxA,18-24 years old,Female, At home
179,EPbVxA,18-24 years old,Female, At a cafe
180,BGboo4,25-34 years old,Male, At home
181,BGboo4,25-34 years old,Male, At a cafe
182,dY2GGD,25-34 years old,Female, On the go
183,oAV8o5,25-34 years old,Female, At home
184,WApa9N,18-24 years old,Male, At the office
185,BGbJE5,25-34 years old,Male, None of these
186,0EjzA9,35-44 years old,Male, At home
187,0EjzA9,35-44 years old,Male, On the go
188,0EjzA9,35-44 years old,Male, At a cafe
189,vNx6YX,25-34 years old,Female, At home
190,vNx6YX,25-34 years old,Female, At the office
191,vNx6YX,25-34 years old,Female, On the go
192,WApaAQ,25-34 years old,Male, At home
193,J2krZX,25-34 years old,Male, At home
194,J2krZX,25-34 years old,Male, At the office
195,oAVN6V,35-44 years old,Male, At home
196,VZ1WVN,25-34 years old,Male, At home
197,VZ1WVN,25-34 years old,Male, At a cafe
198,42Nlko,25-34 years old,Male, At home
199,42Nlko,25-34 years old,Male, At the office
200,RzBq4P,35-44 years old,Male, At home
201,1r2QM4,25-34 years old,Male, At home
202,1r2QM4,25-34 years old,Male, At a cafe
203,LdM4d2,25-34 years old,Female, At the office
204,LdM4d2,25-34 years old,Female, On the go
205,42N0dB,35-44 years old,Male, At the office
206,42N0dB,35-44 years old,Male, At a cafe
207,jB98M9,25-34 years old,Male, At home
208,1r205O,35-44 years old,Female, At home
209,5dq0yE,35-44 years old,Male, At home
210,5dq0yE,35-44 years old,Male, At the office
211,5dq0yE,35-44 years old,Male, On the go
212,YZzb4N,25-34 years old,Male, At home
213,QABq7Y,35-44 years old,Male, At home
214,PABQDd,25-34 years old,Male, At home
215,9dJY7E,25-34 years old,Male, At home
216,9dJY7E,25-34 years old,Male, At the office
217,9dJY7E,25-34 years old,Male, At a cafe
218,24xYgM,18-24 years old,Male, At home
219,24xYgM,18-24 years old,Male, At the office
220,KMB25K,25-34 years old,Male, At home
221,GrBEvo,25-34 years old,Male, At home
222,GrBEvo,25-34 years old,Male, At the office
223,GrBEvo,25-34 years old,Male, At a cafe
224,rlrQrv,25-34 years old,Female, At home
225,rlrQrv,25-34 years old,Female, On the go
226,LdMxpz,25-34 years old,Male, At home
227,LdMxpz,25-34 years old,Male, At the office
228,LdMxpz,25-34 years old,Male, On the go
229,ZdRblA,25-34 years old,Male, At home
230,bl4My7,25-34 years old,Male, At home
231,XeB72d,18-24 years old,Male, At home
232,XeB72d,18-24 years old,Male, On the go
233,XeB72d,18-24 years old,Male, At a cafe
234,zKQBXq,25-34 years old,Male, At home
235,zKQBXq,25-34 years old,Male, At a cafe
236,rlr9Yv,18-24 years old,Male, At home
237,rlr9Yv,18-24 years old,Male, At the office
238,dY2GNy,25-34 years old,Female, At home
239,dY2GNy,25-34 years old,Female, At a cafe
240,zKQA18,18-24 years old,Non-binary, At home
241,zKQA18,18-24 years old,Non-binary, On the go
242,ZdRAAV,35-44 years old,Male, At home
243,ZdRAAV,35-44 years old,Male, On the go
244,VZ17Ev,25-34 years old,Female, At home
245,VZ17Ev,25-34 years old,Female, At the office
246,VZ17Ev,25-34 years old,Female, At a cafe
247,NAB2Ab,25-34 years old,Male, At home
248,NAB2Ab,25-34 years old,Male, At a cafe
249,rlr9yM,25-34 years old,Male, At home
250,rlr9yM,25-34 years old,Male, At the office
251,5dqYbv,35-44 years old,Male, At home
252,AlbRKW,35-44 years old,Male, At home
253,AlbRKW,35-44 years old,Male, At the office
254,AlbRKW,35-44 years old,Male, At a cafe
255,ylqb6X,25-34 years old,Male, At home
256,ylqb6X,25-34 years old,Male, At the office
257,dY2oKz,45-54 years old,Male, At home
258,dY2oKz,45-54 years old,Male, At the office
259,oAVN61,25-34 years old,Male, At home
260,oAVN61,25-34 years old,Male, At the office
261,oAVN61,25-34 years old,Male, On the go
262,oAVN61,25-34 years old,Male, At a cafe
263,rlr9yv,35-44 years old,Male, At home
264,kYR4Nr,18-24 years old,Male, At home
265,kYR4Nr,18-24 years old,Male, At the office
266,kYR4Nr,18-24 years old,Male, On the go
267,kYR4Nr,18-24 years old,Male, At a cafe
268,zKQ4kq,45-54 years old,Male, At home
269,RzBeoP,<18 years old,Male, At home
270,24xYJL,18-24 years old,Male, At home
271,24xYJL,18-24 years old,Male, At a cafe
272,ZdRAWA,45-54 years old,Male, At home
273,ZdRAWA,45-54 years old,Male, At the office
274,rlr9OL,25-34 years old,Male, At home
275,rlr9OL,25-34 years old,Male, At a cafe
276,PABQdQ,55-64 years old,Female, At home
277,PABQdQ,55-64 years old,Female, At the office
278,PABQdQ,55-64 years old,Female, On the go
279,1r20NQ,25-34 years old,Male, At home
280,1r20NQ,25-34 years old,Male, At the office
281,1r20NQ,25-34 years old,Male, At a cafe
282,qbEqj2,35-44 years old,Male, At home
283,qbEqj2,35-44 years old,Male, At the office
284,g5NV9P,35-44 years old,Male, At home
285,g5NV9P,35-44 years old,Male, At the office
286,42NY8Y,25-34 years old,Male, At home
287,42NY8Y,25-34 years old,Male, At the office
288,GrBVJp,35-44 years old,Female, At home
289,7d90RL,18-24 years old,Male, At home
290,7d90RL,18-24 years old,Male, At a cafe
291,lNl8WV,18-24 years old,Female, At the office
292,lNl8WV,18-24 years old,Female, At a cafe
293,vNxaEA,45-54 years old,Male, At home
294,vNxaEA,45-54 years old,Male, On the go
295,vNxaEA,45-54 years old,Male, At a cafe
296,0EjY5P,25-34 years old,Male, At home
297,eBxO5q,18-24 years old,Non-binary, At home
298,lNlXyB,45-54 years old,Female, At the office
299,1r2Yx4,25-34 years old,Male, At home
300,1r20WM,35-44 years old,Male, At home
301,J2krad,25-34 years old,Male, At home
302,DVvo05,18-24 years old,Male, At home
303,DVvo05,18-24 years old,Male, On the go
304,VZ1aJj,25-34 years old,Male, At home
305,aBrJxZ,35-44 years old,Male, At home
306,9dJ0qG,25-34 years old,Male, At home
307,PABN1x,25-34 years old,Male, At home
308,8dpDDk,25-34 years old,Male, At home
309,8dpDDk,25-34 years old,Male, At a cafe
310,VZ1WYN,25-34 years old,Male, At home
311,jB98WY,25-34 years old,Female, At home
312,jB98WY,25-34 years old,Female, At the office
313,jB98WY,25-34 years old,Female, On the go
314,xdN8yk,25-34 years old,Male, At home
315,xdN8yk,25-34 years old,Male, At the office
316,rlr8LX,45-54 years old,Male, At home
317,rlr8LX,45-54 years old,Male, On the go
318,GrBODO,>65 years old,Female, At home
319,7d97a0,25-34 years old,Male, At home
320,WApale,45-54 years old,Male, At home
321,WApale,45-54 years old,Male, At the office
322,oAV8dN,25-34 years old,Male, At home
323,5dqaeZ,25-34 years old,Male, At home
324,5dqaeZ,25-34 years old,Male, At a cafe
325,g5N8v4,35-44 years old,Male, At home
326,g5N8v4,35-44 years old,Male, At the office
327,oAV8lb,35-44 years old,Male, At home
328,jB9871,45-54 years old,Male, At home
329,9dJA2E,18-24 years old,Male, At home
330,PABZBx,25-34 years old,Male, At home
331,PABZBx,25-34 years old,Male, At the office
332,DVvRWR,25-34 years old,Male, At home
333,dY2JDV,25-34 years old,Male, At home
334,dY2JDV,25-34 years old,Male, At the office
335,dY2JDV,25-34 years old,Male, At a cafe
336,bl41Y1,25-34 years old,Male, At home
337,bl41Y1,25-34 years old,Male, At the office
338,rlr8vR,25-34 years old,Male, At home
339,rlr8vR,25-34 years old,Male, On the go
340,xdN89d,45-54 years old,Male, At home
341,xdN89d,45-54 years old,Male, At a cafe
342,kYR8Jo,35-44 years old,Male, At home
343,YZz7xW,25-34 years old,Male, At home
344,rlr8k2,35-44 years old,Male, At home
345,rlr8k2,35-44 years old,Male, On the go
346,7d97ER,25-34 years old,Male, At home
347,GrBOBO,25-34 years old,Male, At home
348,42NlPr,25-34 years old,Male, At home
349,42NlPr,25-34 years old,Male, At the office
350,42NlPr,25-34 years old,Male, On the go
351,42NlPr,25-34 years old,Male, At a cafe
352,XeB6OP,25-34 years old,Female, At home
353,XeB6OP,25-34 years old,Female, At the office
354,XeB6OP,25-34 years old,Female, On the go
355,XeB6OP,25-34 years old,Female, At a cafe
356,VZ1W4y,25-34 years old,Male, At home
357,VZ1W4y,25-34 years old,Male, At the office
358,VZ1W4y,25-34 years old,Male, At a cafe
359,kYR8ve,25-34 years old,Male, At home
360,kYR8ve,25-34 years old,Male, At the office
361,YZz7oN,35-44 years old,Male, At home
362,YZz7oN,35-44 years old,Male, At the office
363,OABxYM,25-34 years old,Male, At home
364,OABxYM,25-34 years old,Male, At the office
365,OABxYM,25-34 years old,Male, On the go
366,xdN8lv,18-24 years old,Male, At the office
367,eBxgYk,25-34 years old,Male, At home
368,eBxgYk,25-34 years old,Male, At a cafe
369,RzBqj9,25-34 years old,Female, At home
370,1r2QGg,35-44 years old,Male, At home
371,MAdj6k,18-24 years old,Male, At home
372,MAdj6k,18-24 years old,Male, At a cafe
373,OABxER,18-24 years old,Male, At home
374,BGbJ0K,25-34 years old,Male, At home
375,qbE8jO,45-54 years old,Male, At home
376,qbE8jO,45-54 years old,Male, At the office
377,kYR8ze,>65 years old,Male, At the office
378,kYR8ze,>65 years old,Male, At a cafe
379,GrBODQ,45-54 years old,Male, At home
380,GrBODQ,45-54 years old,Male, At the office
381,vNx8KD,35-44 years old,Male, At home
382,vNx8KD,35-44 years old,Male, At the office
383,oAV8VN,35-44 years old,Male, At home
384,VZ1Wxg,35-44 years old,Male, At home
385,VZ1Wxg,35-44 years old,Male, At the office
386,VZ1Wxg,35-44 years old,Male, On the go
387,24x9Oe,25-34 years old,Male, At home
388,24x9Oe,25-34 years old,Male, At the office
389,24x9Oe,25-34 years old,Male, On the go
390,24x9Oe,25-34 years old,Male, At a cafe
391,KMBrO8,55-64 years old,Male, At home
392,KMBrO8,55-64 years old,Male, At the office
393,WApa1v,18-24 years old,Male, At home
394,bl41gL,25-34 years old,Female, At home
395,bl41gL,25-34 years old,Female, At the office
396,bl41gL,25-34 years old,Female, At a cafe
397,EPbovB,25-34 years old,Female, On the go
398,ylq8e8,55-64 years old,Female, At home
399,ylq8e8,55-64 years old,Female, At the office
400,24x9ZL,35-44 years old,Male, At home
401,24x9ZL,35-44 years old,Male, At the office
402,MAdjGM,35-44 years old,Male, At home
403,24x9Zj,35-44 years old,Male, At home
404,rlr8kR,25-34 years old,Female, At home
405,rlr8kR,25-34 years old,Female, At the office
406,rlr8kR,25-34 years old,Female, At a cafe
407,g5N8pl,25-34 years old,Male, At home
408,g5N8pl,25-34 years old,Male, At the office
409,rlr8qN,55-64 years old,Male, At the office
410,ylq87g,25-34 years old,Male, At home
411,GrBO7Z,35-44 years old,Male, At home
412,NAB2Rj,35-44 years old,Male, At home
413,NAB2Rj,35-44 years old,Male, At a cafe
414,RzBqkj,35-44 years old,Male, At home
415,xdN86r,18-24 years old,Male, At home
416,9dJArQ,25-34 years old,Female, At the office
417,EPboa4,35-44 years old,Female, At home
418,WApaQN,18-24 years old,Female, At a cafe
419,42NlN5,35-44 years old,Female, At home
420,42NlN5,35-44 years old,Female, At a cafe
421,AlbM50,25-34 years old,Male, At home
422,AlbM50,25-34 years old,Male, At the office
423,AlbM50,25-34 years old,Male, On the go
424,AlbM50,25-34 years old,Male, At a cafe
425,QABNap,35-44 years old,Male, At home
426,QABNap,35-44 years old,Male, At the office
427,QABNap,35-44 years old,Male, On the go
428,dY2Jkd,45-54 years old,Female, At home
429,RzBqr9,18-24 years old,Male, At home
430,RzBqr9,18-24 years old,Male, At a cafe
431,lNl89W,18-24 years old,Female, At the office
432,PABZGB,25-34 years old,Female, At home
433,PABZGB,25-34 years old,Female, On the go
434,PABZGB,25-34 years old,Female, At a cafe
435,RzBqjj,25-34 years old,Male, At home
436,RzBqjj,25-34 years old,Male, On the go
437,RzBqjj,25-34 years old,Male, At a cafe
438,LdM4ov,25-34 years old,Male, At home
439,GrBO5k,55-64 years old,Male, At home
440,ZdRbWo,25-34 years old,Female, At home
441,ZdRbWo,25-34 years old,Female, At the office
442,AlbMQD,25-34 years old,Female, At home
443,AlbMQD,25-34 years old,Female, On the go
444,42NlqX,45-54 years old,Male, At home
445,42NlqX,45-54 years old,Male, At the office
446,24x9D9,35-44 years old,Female, At home
447,24x9D9,35-44 years old,Female, At the office
448,QABNE7,25-34 years old,Male, At home
449,QABNE7,25-34 years old,Male, On the go
450,6dQ6QN,25-34 years old,Male, At home
451,6dQ6QN,25-34 years old,Male, At the office
452,6dQ6QN,25-34 years old,Male, On the go
453,KMBrkV,25-34 years old,Male, At home
454,g5N8NJ,25-34 years old,Female, At home
455,g5N8NJ,25-34 years old,Female, At the office
456,g5N8NJ,25-34 years old,Female, At a cafe
457,aBrpab,25-34 years old,Non-binary, At the office
458,aBrpab,25-34 years old,Non-binary, At a cafe
459,bl41vZ,55-64 years old,Female, At home
460,qbE8NG,25-34 years old,Male, At home
461,qbE8NG,25-34 years old,Male, At the office
462,eBxgoe,25-34 years old,Male, At home
463,eBxgoe,25-34 years old,Male, At the office
464,eBxgoe,25-34 years old,Male, At a cafe
465,aBrpkB,25-34 years old,Female, At home
466,aBrpkB,25-34 years old,Female, At the office
467,aBrpkB,25-34 years old,Female, On the go
468,aBrpkB,25-34 years old,Female, At a cafe
469,vNx8g0,25-34 years old,Male, At home
470,vNx8g0,25-34 years old,Male, At the office
471,vNx8g0,25-34 years old,Male, At a cafe
472,NAB2Ol,25-34 years old,Female, At home
473,NAB2Ol,25-34 years old,Female, At the office
474,NAB2Ol,25-34 years old,Female, On the go
475,GrBObk,25-34 years old,Male, At home
476,kYR8x1,25-34 years old,Female, At home
477,kYR8x1,25-34 years old,Female, At the office
478,g5N8z4,18-24 years old,Other (please specify), At home
479,lNl8zv,25-34 years old,Male, At home
480,lNl8zv,25-34 years old,Male, At a cafe
481,jB98z4,18-24 years old,Male, At home
482,jB98z4,18-24 years old,Male, At the office
483,RzBqVj,45-54 years old,Male, At home
484,BGbJ6Q,35-44 years old,Male, At home
485,BGbJ6Q,35-44 years old,Male, At the office
486,QABN8Y,25-34 years old,Female, At home
487,24x9o9,35-44 years old,Male, At home
488,24x9o9,35-44 years old,Male, At the office
489,BGbJ9Q,25-34 years old,Female, At home
490,BGbJ9Q,25-34 years old,Female, At the office
491,BGbJ9Q,25-34 years old,Female, On the go
492,BGbJ9Q,25-34 years old,Female, At a cafe
493,PABZrV,25-34 years old,Male, At home
494,lNl84k,25-34 years old,Male, At home
495,lNl84k,25-34 years old,Male, On the go
496,rlr8YR,45-54 years old,Male, At home
497,zKQ8L0,25-34 years old,Male, At home
498,zKQ8L0,25-34 years old,Male, At the office
499,zKQ8L0,25-34 years old,Male, At a cafe
500,NAB2El,35-44 years old,Male, At home
501,NAB2El,35-44 years old,Male, On the go
502,NAB2El,35-44 years old,Male, At a cafe
503,9dJAMV,25-34 years old,Male, At home
504,YZz79J,25-34 years old,Female, At home
505,YZz79J,25-34 years old,Female, At a cafe
506,5dqaod,25-34 years old,Male, At home
507,GrBOgp,35-44 years old,Male, At home
508,dY2Jgo,25-34 years old,Female, At home
509,dY2Jgo,25-34 years old,Female, At the office
510,dY2Jgo,25-34 years old,Female, On the go
511,AlbMAe,25-34 years old,Male, At home
512,XeB6d4,25-34 years old,Male, At home
513,QABNX8,25-34 years old,Female, At home
514,1r2QBp,55-64 years old,Female, At home
515,1r2QBp,55-64 years old,Female, At the office
516,VZ1WY6,35-44 years old,Prefer not to say, At home
517,VZ1WY6,35-44 years old,Prefer not to say, At a cafe
518,LdM4Vv,55-64 years old,Female, At home
519,6dQ6MJ,45-54 years old,Female, At home
520,oAV8vx,25-34 years old,Male, At home
521,oAV8vx,25-34 years old,Male, At the office
522,oAV8gP,25-34 years old,Male, At home
523,EPboJ2,25-34 years old,Male, At home
524,EPboJ2,25-34 years old,Male, At the office
525,EPboJ2,25-34 years old,Male, On the go
526,MAdjVA,25-34 years old,Male, At home
527,MAdjVA,25-34 years old,Male, At the office
528,MAdjVA,25-34 years old,Male, On the go
529,EPboEX,25-34 years old,Male, At home
530,6dQ64k,35-44 years old,Male, At home
531,6dQ64k,35-44 years old,Male, At the office
532,6dQ64k,35-44 years old,Male, At a cafe
533,NAB240,55-64 years old,Male, At home
534,pLPYzB,55-64 years old,Male, At home
535,OABxEg,55-64 years old,Male, At home
536,NAB2gB,25-34 years old,Male, At home
537,NAB2gB,25-34 years old,Male, At the office
538,vNx8vQ,25-34 years old,Female, At home
539,vNx8vQ,25-34 years old,Female, At the office
540,qbE8k9,35-44 years old,Male, At home
541,qbE8k9,35-44 years old,Male, At the office
542,qbE8k9,35-44 years old,Male, On the go
543,qbE8v9,25-34 years old,Male, At home
544,qbE8v9,25-34 years old,Male, At the office
545,dY2J8d,45-54 years old,Male, At home
546,jB98Yx,35-44 years old,Female, On the go
547,rlr8gN,25-34 years old,Male, At home
548,rlr8gN,25-34 years old,Male, At the office
549,XeB6Ng,45-54 years old,Male, At home
550,OABx97,45-54 years old,Female, At home
551,OABx97,45-54 years old,Female, At a cafe
552,42NlEX,25-34 years old,Male, At home
553,42NlEX,25-34 years old,Male, At a cafe
554,LdM4al,25-34 years old,Male, At the office
555,ZdRbDB,18-24 years old,Male, At home
556,6dQ6Vk,25-34 years old,Male, At home
557,6dQ6Vk,25-34 years old,Male, At the office
558,6dQ6Vk,25-34 years old,Male, On the go
559,6dQ6Vk,25-34 years old,Male, At a cafe
560,8dpbVx,18-24 years old,Male, At home
561,6dQ65P,>65 years old,Prefer not to say, At home
562,1r2Q6l,35-44 years old,Male, At home
563,7d97MR,18-24 years old,Male, At home
564,7d97MR,18-24 years old,Male, On the go
565,ylq8GB,25-34 years old,Male, At home
566,ylq8GB,25-34 years old,Male, At a cafe
567,kYR8p1,35-44 years old,Male, At home
568,kYR8p1,35-44 years old,Male, At the office
569,8dpbgx,18-24 years old,Male, At home
570,8dpbgx,18-24 years old,Male, At the office
571,VZ1Wqg,25-34 years old,Female, At home
572,VZ1Wqg,25-34 years old,Female, At a cafe
573,WApaBa,35-44 years old,Female, At home
574,WApaBa,35-44 years old,Female, At a cafe
575,dY2J1q,35-44 years old,Male, At home
576,vNx8W0,25-34 years old,Male, At home
577,vNx8W0,25-34 years old,Male, At a cafe
578,5dqaOo,35-44 years old,Male, At a cafe
579,QABNWp,25-34 years old,Female, At home
580,ZdRbQo,35-44 years old,Male, At home
581,ZdRbQo,35-44 years old,Male, At the office
582,NAB2yB,55-64 years old,Male, At the office
583,oAV81e,18-24 years old,Male, At home
584,PABZYx,35-44 years old,Female, At home
585,PABZYx,35-44 years old,Female, At the office
586,PABZYx,35-44 years old,Female, At a cafe
587,PABZWb,25-34 years old,Female, At home
588,XeB6v4,18-24 years old,Male, At home
589,9dJAxQ,25-34 years old,Male, At home
590,DVvRE5,<18 years old,Female, At home
591,DVvRE5,<18 years old,Female, At a cafe
592,lNl87X,25-34 years old,Female, At home
593,lNl87X,25-34 years old,Female, On the go
594,eBxgye,25-34 years old,Female, At home
595,aBrpgq,25-34 years old,Female, At home
596,aBrpgq,25-34 years old,Female, At the office
597,OABxrR,25-34 years old,Male, At home
598,OABxrR,25-34 years old,Male, At the office
599,1r2QxQ,25-34 years old,Male, At home
600,1r2QxQ,25-34 years old,Male, At the office
601,AlbM9z,25-34 years old,Male, At home
602,AlbM9z,25-34 years old,Male, At the office
603,AlbM9z,25-34 years old,Male, At a cafe
604,8dpbWO,25-34 years old,Female, At home
605,8dpbWO,25-34 years old,Female, At the office
606,8dpbWO,25-34 years old,Female, On the go
607,8dpbWO,25-34 years old,Female, At a cafe
608,7d97zA,18-24 years old,Female, At home
