,medalist_name,medal,country_medal,date_of_birth,place_of_birth,lat,lon,sex_or_gender,event_name,event_part_of_sport
116,Brian Pintado,gold,Ecuador,1995-07-29,Cuenca,-2.897413889,-79.00448056,male,athletics men's 20 kilometres walk,athletics
117,Caio Bonfim,silver,Brazil,1991-03-19,Sobradinho,-15.65305556,-47.79138889,male,athletics men's 20 kilometres walk,athletics
118,Álvaro Martín,bronze,Spain,1994-06-18,Llerena,38.2375,-6.015277778,male,athletics men's 20 kilometres walk,athletics
119,Hamish Kerr,gold,New Zealand,1996-08-17,Dunedin,-45.87416667,170.5036111,male,athletics men's high jump,athletics
120,Shelby McEwen,silver,United States of America,1996-04-06,Abbeville,34.504525,-89.500713,male,athletics men's high jump,athletics
121,Mutaz Essa Barshim,bronze,Qatar,1991-06-24,Doha,25.3,51.53333333,male,athletics men's high jump,athletics
122,Armand Duplantis,gold,Sweden,1999-11-10,Lafayette,30.243062,-92.012649,male,athletics men's pole vault,athletics
123,Sam Kendricks,silver,United States of America,1992-09-07,Oceanside,33.21166667,-117.3258333,male,athletics men's pole vault,athletics
124,Emmanouíl Karalís,bronze,Greece,1999-10-20,Chania,35.51666667,24.01666667,male,athletics men's pole vault,athletics
125,Miltiadis Tentoglou,gold,Greece,1998-03-18,Thessaloniki,40.64027778,22.93555556,male,athletics men's long jump,athletics
126,Wayne Pinnock,silver,Jamaica,2000-10-24,Kingston,17.97138889,-76.79305556,male,athletics men's long jump,athletics
127,Mattia Furlani,bronze,Italy,2005-02-07,Marino,41.76666667,12.66666667,male,athletics men's long jump,athletics
128,Jordan Díaz,gold,Spain,2001-02-23,Havana,23.13666667,-82.35888889,male,athletics men's triple jump,athletics
129,Pedro Pichardo,silver,Portugal,1993-06-30,Santiago de Cuba,20.02166667,-75.82944444,male,athletics men's triple jump,athletics
130,Andy Díaz,bronze,Italy,1995-12-25,Havana,23.13666667,-82.35888889,male,athletics men's triple jump,athletics
131,Ryan Crouser,gold,United States of America,1992-12-18,Portland,45.51666667,-122.6666667,male,athletics men's shot put,athletics
132,Joe Kovacs,silver,United States of America,1989-06-28,Bethlehem,40.62611111,-75.37555556,male,athletics men's shot put,athletics
133,Rajindra Campbell,bronze,Jamaica,1996-02-26,Ocho Rios,18.399444,-77.103056,male,athletics men's shot put,athletics
134,Rojé Stona,gold,Jamaica,1999-02-26,Montego Bay,18.46666667,-77.91666667,male,athletics men's discus throw,athletics
135,Mykolas Alekna,silver,Lithuania,2002-09-28,Vilnius,54.68722222,25.28,male,athletics men's discus throw,athletics
136,Matthew Denny,bronze,Australia,1996-06-02,Toowoomba,-27.55,151.95,male,athletics men's discus throw,athletics
137,Ethan Katzberg,gold,Canada,2002-04-05,Nanaimo,49.16416667,-123.9363889,male,athletics men's hammer throw,athletics
138,Bence Halász,silver,Hungary,1997-08-04,Kiskunhalas,46.43194444,19.48833333,male,athletics men's hammer throw,athletics
139,Mykhaylo Kokhan,bronze,Ukraine,2001-01-22,Zaporizhzhia,47.85,35.1175,male,athletics men's hammer throw,athletics
140,Arshad Nadeem,gold,Pakistan,1997-01-02,Khanewal,30.3,71.93333333,male,athletics men's javelin throw,athletics
141,Neeraj Chopra,silver,India,1997-12-24,Panipat district,29.3889,76.9681,male,athletics men's javelin throw,athletics
142,Anderson Peters,bronze,Grenada,1997-10-21,Saint Andrew Parish,12.119167,-61.626389,male,athletics men's javelin throw,athletics
143,Markus Rooth,gold,Norway,2001-12-22,Oslo,59.91333333,10.73888889,male,athletics men's decathlon,athletics
144,Leo Neugebauer,silver,Germany,2000-06-19,Görlitz,51.15277778,14.98722222,male,athletics men's decathlon,athletics
145,Lindon Victor,bronze,Grenada,1993-02-28,St. George's,12.04444444,-61.74166667,male,athletics men's decathlon,athletics
146,Julien Alfred,gold,Saint Lucia,2001-06-10,Castries,14.01666667,-60.98333333,female,athletics women's 100 metres,athletics
147,Sha'Carri Richardson,silver,United States of America,2000-03-25,Dallas,32.77916667,-96.80888889,female,athletics women's 100 metres,athletics
148,Melissa Jefferson,bronze,United States of America,2001-02-21,Georgetown,33.3675,-79.29388889,female,athletics women's 100 metres,athletics
149,Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,33.75694444,-84.39027778,female,athletics women's 200 metres,athletics
150,Julien Alfred,silver,Saint Lucia,2001-06-10,Castries,14.01666667,-60.98333333,female,athletics women's 200 metres,athletics
151,Brittany Brown,bronze,United States of America,1995-04-18,Fontana,34.1,-117.4666667,female,athletics women's 200 metres,athletics
152,Marileidy Paulino,gold,Dominican Republic,1996-10-25,Nizao,18.25,-70.2,female,athletics women's 400 metres,athletics
153,Salwa Eid Naser,silver,Bahrain,1998-05-23,Onitsha,6.166666667,6.783333333,female,athletics women's 400 metres,athletics
154,Natalia Kaczmarek,bronze,Poland,1998-01-17,Drezdenko,52.83333333,15.83333333,female,athletics women's 400 metres,athletics
155,Keely Hodgkinson,gold,United Kingdom,2002-03-03,Atherton,53.523,-2.495,female,athletics women's 800 metres,athletics
156,Tsige Duguma,silver,Ethiopia,2001-02-23,Ethiopia,9.0,40.0,female,athletics women's 800 metres,athletics
157,Mary Moraa,bronze,Kenya,2000-06-15,Kenya,0.1,38.0,female,athletics women's 800 metres,athletics
158,Faith Kipyegon,gold,Kenya,1994-01-10,Bomet,-0.779666667,35.33718889,female,athletics women's 1500 metres,athletics
159,Jessica Hull,silver,Australia,1996-10-22,Albion Park,-34.58166667,150.7761111,female,athletics women's 1500 metres,athletics
160,Georgia Bell,bronze,United Kingdom,1993-10-17,Paris,48.85666667,2.352222222,female,athletics women's 1500 metres,athletics
161,Beatrice Chebet,gold,Kenya,2000-03-05,Kenya,0.1,38.0,female,athletics women's 5000 metres,athletics
162,Faith Kipyegon,silver,Kenya,1994-01-10,Bomet,-0.779666667,35.33718889,female,athletics women's 5000 metres,athletics
163,Sifan Hassan,bronze,Netherlands,1993-01-01,Adama,8.55,39.26666667,female,athletics women's 5000 metres,athletics
164,Beatrice Chebet,gold,Kenya,2000-03-05,Kenya,0.1,38.0,female,"athletics women's 10,000 metres",athletics
165,Nadia Battocletti,silver,Italy,2000-04-12,Cles,46.36666667,11.03333333,female,"athletics women's 10,000 metres",athletics
166,Sifan Hassan,bronze,Netherlands,1993-01-01,Adama,8.55,39.26666667,female,"athletics women's 10,000 metres",athletics
167,Masai Russell,gold,United States of America,2000-06-17,"Washington, D.C.",38.895,-77.03666667,female,athletics women's 100 metres hurdles,athletics
168,Cyréna Samba-Mayela,silver,France,2000-10-31,Champigny-sur-Marne,48.81722222,2.515555556,female,athletics women's 100 metres hurdles,athletics
169,Jasmine Camacho-Quinn,bronze,Puerto Rico,1996-08-21,Charleston,32.78333333,-79.93194444,female,athletics women's 100 metres hurdles,athletics
170,Sydney McLaughlin-Levrone,gold,United States of America,1999-08-07,New Brunswick,40.48666667,-74.44444444,female,athletics women's 400 metres hurdles,athletics
171,Anna Cockrell,silver,United States of America,1997-08-28,San Ramon,37.78,-121.9780556,female,athletics women's 400 metres hurdles,athletics
172,Femke Bol,bronze,Netherlands,2000-02-23,Amersfoort,52.15,5.38,female,athletics women's 400 metres hurdles,athletics
173,Winfred Yavi,gold,Bahrain,1999-12-31,Kenya,0.1,38.0,female,athletics women's 3000 metres steeplechase,athletics
174,Peruth Chemutai,silver,Uganda,1999-07-10,Kapchorwa District,1.333333333,34.56666667,female,athletics women's 3000 metres steeplechase,athletics
175,Faith Cherotich,bronze,Kenya,2004-07-13,Kenya,0.1,38.0,female,athletics women's 3000 metres steeplechase,athletics
176,Melissa Jefferson,gold,United States of America,2001-02-21,Georgetown,33.3675,-79.29388889,female,athletics women's 4 × 100 metres relay,athletics
177,Twanisha Terry,gold,United States of America,1999-01-24,Miami,25.78333333,-80.21666667,female,athletics women's 4 × 100 metres relay,athletics
178,Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,33.75694444,-84.39027778,female,athletics women's 4 × 100 metres relay,athletics
179,Sha'Carri Richardson,gold,United States of America,2000-03-25,Dallas,32.77916667,-96.80888889,female,athletics women's 4 × 100 metres relay,athletics
180,Dina Asher-Smith,silver,United Kingdom,1995-12-04,Orpington,51.3741,0.0986,female,athletics women's 4 × 100 metres relay,athletics
181,Imani-Lara Lansiquot,silver,United Kingdom,1997-12-17,Peckham,51.4714,-0.0625,female,athletics women's 4 × 100 metres relay,athletics
182,Amy Hunt,silver,United Kingdom,2002-05-15,Nottingham,52.955,-1.149166667,female,athletics women's 4 × 100 metres relay,athletics
183,Daryll Neita,silver,United Kingdom,1996-08-29,London,51.50722222,-0.1275,female,athletics women's 4 × 100 metres relay,athletics
184,Bianca Williams,silver,United Kingdom,1993-12-18,London,51.50722222,-0.1275,female,athletics women's 4 × 100 metres relay,athletics
185,Desirèe Henry,silver,United Kingdom,1995-08-26,London,51.50722222,-0.1275,female,athletics women's 4 × 100 metres relay,athletics
186,Alexandra Burghardt,bronze,Germany,1994-04-28,Mühldorf am Inn,48.24555556,12.52277778,female,athletics women's 4 × 100 metres relay,athletics
187,Lisa Mayer,bronze,Germany,1996-05-02,Giessen,50.58333333,8.666666667,female,athletics women's 4 × 100 metres relay,athletics
188,Gina Lückenkemper,bronze,Germany,1996-11-21,Soest,51.57111111,8.109166667,female,athletics women's 4 × 100 metres relay,athletics
189,Rebekka Haase,bronze,Germany,1993-01-02,Zschopau,50.75,13.06666667,female,athletics women's 4 × 100 metres relay,athletics
190,Sophia Junk,bronze,Germany,1999-03-01,Konz,49.70277778,6.579444444,female,athletics women's 4 × 100 metres relay,athletics
191,Shamier Little,gold,United States of America,1995-03-20,Louisville,38.25611111,-85.75138889,female,athletics women's 4 × 400 metres relay,athletics
192,Sydney McLaughlin-Levrone,gold,United States of America,1999-08-07,New Brunswick,40.48666667,-74.44444444,female,athletics women's 4 × 400 metres relay,athletics
193,Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,33.75694444,-84.39027778,female,athletics women's 4 × 400 metres relay,athletics
194,Alexis Holmes,gold,United States of America,2000-01-28,Hamden,41.39777778,-72.92166667,female,athletics women's 4 × 400 metres relay,athletics
195,Quanera Hayes,gold,United States of America,1992-03-07,South Carolina,34.0,-81.0,female,athletics women's 4 × 400 metres relay,athletics
196,Aaliyah Butler,gold,United States of America,2003-11-05,Fort Lauderdale,26.13583333,-80.14194444,female,athletics women's 4 × 400 metres relay,athletics
197,Kaylyn Brown,gold,United States of America,2004-12-31,Charlotte,35.22694444,-80.84333333,female,athletics women's 4 × 400 metres relay,athletics
198,Lieke Klaver,silver,Netherlands,1998-08-20,Velsen,52.46666667,4.616666667,female,athletics women's 4 × 400 metres relay,athletics
199,Cathelijn Peeters,silver,Netherlands,1996-11-06,Dongen,51.6258,4.9433,female,athletics women's 4 × 400 metres relay,athletics
200,Lisanne de Witte,silver,Netherlands,1992-09-10,Vlaardingen,51.91666667,4.35,female,athletics women's 4 × 400 metres relay,athletics
201,Femke Bol,silver,Netherlands,2000-02-23,Amersfoort,52.15,5.38,female,athletics women's 4 × 400 metres relay,athletics
202,Eveline Saalberg,silver,Netherlands,1998-07-30,Arnhem,51.98333333,5.916666667,female,athletics women's 4 × 400 metres relay,athletics
203,Myrte van der Schoot,silver,Netherlands,2004-04-16,Hilversum,52.23,5.18,female,athletics women's 4 × 400 metres relay,athletics
204,Victoria Ohuruogu,bronze,United Kingdom,1993-02-28,London,51.50722222,-0.1275,female,athletics women's 4 × 400 metres relay,athletics
205,Laviai Nielsen,bronze,United Kingdom,1996-03-13,London,51.50722222,-0.1275,female,athletics women's 4 × 400 metres relay,athletics
206,Nicole Yeargin,bronze,United Kingdom,1997-08-11,Bowie,38.94277778,-76.73027778,female,athletics women's 4 × 400 metres relay,athletics
207,Amber Anning,bronze,United Kingdom,2000-11-18,London,51.50722222,-0.1275,female,athletics women's 4 × 400 metres relay,athletics
208,Yemi Mary John,bronze,United Kingdom,2003-05-03,London,51.50722222,-0.1275,female,athletics women's 4 × 400 metres relay,athletics
209,Hannah Kelly,bronze,United Kingdom,2000-12-20,Bury,53.59315,-2.298552778,female,athletics women's 4 × 400 metres relay,athletics
210,Jodie Williams,bronze,United Kingdom,1993-09-28,Welwyn Garden City,51.8062,-0.1932,female,athletics women's 4 × 400 metres relay,athletics
211,Lina Nielsen,bronze,United Kingdom,1996-03-13,London,51.50722222,-0.1275,female,athletics women's 4 × 400 metres relay,athletics
212,Sifan Hassan,gold,Netherlands,1993-01-01,Adama,8.55,39.26666667,female,athletics women's marathon,athletics
213,Tigst Assefa,silver,Ethiopia,1996-12-03,Addis Ababa,9.027222222,38.73694444,female,athletics women's marathon,athletics
214,Hellen Obiri,bronze,Kenya,1989-12-13,Kisii,-0.6698,34.7675,female,athletics women's marathon,athletics
215,Yang Jiayu,gold,People's Republic of China,1996-02-18,Wuhai,39.68444444,106.8158333,female,athletics women's 20 kilometres walk,athletics
216,María Pérez,silver,Spain,1996-04-29,Orce,37.72138889,-2.479444444,female,athletics women's 20 kilometres walk,athletics
217,Jemima Montag,bronze,Australia,1998-02-15,East Melbourne,-37.813,144.985,female,athletics women's 20 kilometres walk,athletics
