,id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
79,487,User487,28.0,,Mobile,Side,,Afternoon,1
80,3266,User3266,,Male,Tablet,Top,News,Afternoon,1
81,5574,User5574,52.0,Female,,Bottom,Shopping,Afternoon,1
82,6553,User6553,,,Desktop,Bottom,Education,Morning,1
83,8996,User8996,22.0,Female,Desktop,,Entertainment,Evening,0
84,503,User503,43.0,,Desktop,,Social Media,Morning,1
85,4581,User4581,51.0,,,Top,,,0
86,3266,User3266,,Male,Tablet,Top,News,Afternoon,1
87,8956,User8956,,Male,Tablet,,News,Morning,1
88,9990,User9990,,Male,Desktop,Side,,Night,1
89,7426,User7426,,,Mobile,Side,,Night,0
90,6100,User6100,,,Desktop,,Education,,1
91,3543,User3543,,,,Top,,Night,1
92,7866,User7866,,,Mobile,Top,Social Media,Morning,1
93,7917,User7917,,Non-Binary,Tablet,Side,,Afternoon,0
94,63,User63,,Female,Tablet,Top,Social Media,,0
95,5340,User5340,19.0,,Mobile,Side,,Night,0
96,2907,User2907,,,Mobile,Side,News,,0
97,7545,User7545,25.0,Male,Tablet,,News,Evening,0
98,3746,User3746,,,,,,Morning,1
99,6906,User6906,,,Mobile,Top,,Morning,1
100,1665,User1665,19.0,,Mobile,Bottom,,Afternoon,0
101,1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1
102,8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0
103,4086,User4086,,Female,Desktop,Top,Entertainment,Morning,1
104,9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0
105,1503,User1503,19.0,,,Side,,,1
106,571,User571,,Male,Tablet,Bottom,Social Media,Afternoon,0
107,7591,User7591,,Male,Desktop,Top,,Night,0
108,5531,User5531,34.0,Male,Desktop,Top,News,,1
109,5419,User5419,,Male,Tablet,,,Morning,1
110,9921,User9921,,Female,Desktop,Side,,Night,0
111,5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1
112,5821,User5821,31.0,Female,Desktop,,Education,,0
113,4890,User4890,43.0,Male,,Bottom,Education,Afternoon,1
114,9992,User9992,,Male,Desktop,Side,Shopping,Evening,1
115,9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0
116,2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1
117,4777,User4777,,Female,Tablet,Side,,Morning,0
118,6683,User6683,,,Tablet,,,Night,1
119,6880,User6880,,Female,Mobile,Side,News,Night,1
120,2021,User2021,41.0,,Mobile,,,Night,1
121,5986,User5986,32.0,,Desktop,Side,,,0
122,5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0
123,8948,User8948,25.0,,Mobile,Bottom,Education,,1
124,3109,User3109,,,,Side,Entertainment,,1
125,3042,User3042,,,,Side,,Afternoon,1
126,3225,User3225,23.0,,Tablet,,Entertainment,,1
127,3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1
128,1190,User1190,,Non-Binary,Tablet,Bottom,Education,,1
129,1077,User1077,,Non-Binary,Desktop,Top,,Afternoon,1
130,3062,User3062,,Male,Desktop,Bottom,Entertainment,,1
131,6060,User6060,,,Desktop,Top,News,Morning,0
132,4697,User4697,,,Mobile,Side,Entertainment,Afternoon,1
133,6849,User6849,39.0,,Mobile,,,Night,1
134,1908,User1908,26.0,,Mobile,,,,1
135,5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0
136,4856,User4856,21.0,,Desktop,Top,,Evening,0
137,1197,User1197,,Male,Mobile,Top,Social Media,Night,1
138,9307,User9307,,,,,Social Media,Evening,0
139,8683,User8683,26.0,,Desktop,Side,,,0
140,820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
141,6315,User6315,,,Desktop,Top,,Afternoon,1
142,8010,User8010,24.0,,Desktop,Top,,,0
143,2364,User2364,54.0,Female,,Side,,Afternoon,0
144,4507,User4507,42.0,,,Bottom,,,0
145,1549,User1549,,,Desktop,Top,,Afternoon,1
146,4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
147,3577,User3577,58.0,,Desktop,Side,Social Media,Afternoon,0
148,5845,User5845,,,Tablet,,Shopping,Morning,0
149,8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,,1
150,5418,User5418,,Male,,Top,,,1
151,255,User255,31.0,,,,Entertainment,Night,1
152,4621,User4621,20.0,,Desktop,,,,1
153,1704,User1704,61.0,Female,,,,,1
154,118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0
155,8957,User8957,,Female,Mobile,Top,,Morning,1
156,3314,User3314,35.0,,Tablet,Top,News,Evening,0
157,5995,User5995,,Male,,Top,,Morning,0
158,3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0
159,1325,User1325,,,,Side,,Evening,1
160,756,User756,,,,,,Evening,0
161,5194,User5194,53.0,Male,Mobile,Top,,,1
162,4611,User4611,20.0,Female,Tablet,,Social Media,Night,0
163,2023,User2023,19.0,Non-Binary,Desktop,,,,1
164,2565,User2565,,Non-Binary,Desktop,Bottom,Shopping,Night,0
165,2965,User2965,,Non-Binary,Tablet,Top,Shopping,,0
166,8041,User8041,,,Mobile,Bottom,,Afternoon,1
167,6258,User6258,,,Tablet,Top,,Night,1
168,3375,User3375,52.0,,Mobile,Bottom,Education,Morning,1
169,7805,User7805,36.0,Male,Mobile,,,Afternoon,0
170,3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
171,6449,User6449,42.0,,Desktop,Top,Shopping,Night,1
172,9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0
173,5439,User5439,38.0,,Tablet,Side,Social Media,Afternoon,1
174,9400,User9400,,Non-Binary,Mobile,Side,Education,Night,1
175,1914,User1914,42.0,,,Bottom,Shopping,,1
176,9732,User9732,27.0,Male,Desktop,,Education,Evening,0
177,5642,User5642,57.0,,Tablet,Bottom,News,Morning,0
178,9689,User9689,,Male,Desktop,Bottom,,,1
179,7655,User7655,39.0,,,Bottom,,,0
180,5780,User5780,,,Mobile,Bottom,Entertainment,,1
181,2976,User2976,,,,,Shopping,Afternoon,0
182,6262,User6262,,,,Bottom,,Morning,0
183,3663,User3663,,,Mobile,,Social Media,,0
184,8103,User8103,,Non-Binary,,Top,,Night,0
185,2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0
186,9136,User9136,,Non-Binary,Desktop,Side,,Afternoon,1
187,6974,User6974,53.0,,Desktop,Side,Education,Evening,0
188,1486,User1486,,,Desktop,Side,,Morning,0
189,606,User606,,,,Bottom,Entertainment,Afternoon,1
190,1612,User1612,40.0,,Mobile,Side,News,Evening,1
191,6438,User6438,53.0,Non-Binary,Tablet,,,Night,1
192,3225,User3225,23.0,,,Bottom,Entertainment,Morning,1
193,9842,User9842,43.0,Non-Binary,Mobile,,Shopping,Afternoon,1
194,8817,User8817,,Male,Tablet,Bottom,,Night,1
195,1020,User1020,,,Mobile,Side,Education,Morning,1
196,1635,User1635,54.0,Female,,Top,,,1
197,3776,User3776,,,,Top,Social Media,Evening,0
198,5412,User5412,35.0,,Mobile,Top,,Evening,1
199,6989,User6989,28.0,Male,Mobile,,Shopping,Afternoon,1
200,8018,User8018,,,Desktop,Side,,Night,1
201,2529,User2529,,Female,Desktop,,,Afternoon,1
202,3285,User3285,,Male,Tablet,Side,News,,0
203,2156,User2156,46.0,Female,Tablet,Side,,,1
204,8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1
205,9418,User9418,20.0,Male,,Side,News,,1
206,8190,User8190,26.0,,Mobile,Side,,Afternoon,1
207,1140,User1140,28.0,Male,,Side,,Evening,0
208,3149,User3149,,Male,Desktop,Top,,Night,0
209,5629,User5629,,,Tablet,,,Night,1
210,9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
211,4086,User4086,,Female,Desktop,Top,Entertainment,Morning,1
212,9400,User9400,,Non-Binary,Mobile,Side,Education,Night,1
213,6449,User6449,,,Desktop,Top,Shopping,Night,1
214,9699,User9699,,Female,,,Shopping,Morning,0
215,2809,User2809,,Non-Binary,Desktop,Top,News,Afternoon,0
216,4089,User4089,,Non-Binary,Tablet,,,Afternoon,0
217,2885,User2885,,Non-Binary,Desktop,Bottom,Education,Afternoon,0
218,1190,User1190,,Non-Binary,Tablet,Bottom,Education,Morning,1
219,8068,User8068,,Female,Mobile,Side,Shopping,Afternoon,0
220,5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1
221,1345,User1345,34.0,,Desktop,Top,Entertainment,,0
222,4938,User4938,,Male,Desktop,Side,Social Media,Evening,1
223,5623,User5623,53.0,,Desktop,Side,,Morning,1
224,5329,User5329,54.0,Male,Tablet,Side,,Evening,1
225,9990,User9990,25.0,Male,Desktop,Side,,Night,1
226,3746,User3746,,Male,Desktop,Top,,Morning,1
227,7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,Morning,1
228,5955,User5955,,,Tablet,,,Evening,1
229,5100,User5100,42.0,,Mobile,Side,Shopping,Morning,1
230,6129,User6129,36.0,,Tablet,Bottom,,Evening,1
231,4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0
232,8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
233,3215,User3215,33.0,Male,Mobile,Side,,Afternoon,0
234,4151,User4151,,,Desktop,,,Evening,0
235,8176,User8176,,Male,Desktop,Top,News,Afternoon,0
236,1908,User1908,26.0,Male,Mobile,Bottom,,Evening,1
237,2142,User2142,34.0,Non-Binary,,,Shopping,Afternoon,1
238,4212,User4212,,,,,News,,0
239,9137,User9137,35.0,Female,Desktop,Side,Social Media,,0
240,8085,User8085,35.0,Non-Binary,Mobile,,,Evening,0
241,933,User933,41.0,Female,Tablet,,Entertainment,Night,0
242,4779,User4779,,,Tablet,Top,,Afternoon,0
243,4925,User4925,47.0,,Desktop,Side,Entertainment,Evening,0
244,6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1
245,3818,User3818,27.0,,Desktop,Top,Shopping,Night,0
246,6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0
247,7779,User7779,36.0,,Desktop,,,Morning,0
248,1612,User1612,40.0,,Mobile,Side,News,Evening,1
249,6441,User6441,,,Desktop,Top,,Night,1
250,7808,User7808,26.0,Female,Desktop,Top,,Night,1
251,550,User550,,,Desktop,Top,,Morning,0
252,1612,User1612,40.0,,Mobile,Side,News,Evening,1
253,3644,User3644,,Female,Mobile,Side,Entertainment,Evening,1
254,7422,User7422,,Female,Desktop,Top,,Evening,1
255,5732,User5732,,Non-Binary,,Bottom,,Evening,1
256,8222,User8222,27.0,,Tablet,Side,News,Afternoon,1
257,4450,User4450,45.0,Female,Mobile,Top,,Evening,0
258,3277,User3277,,,Mobile,Side,News,,0
259,8174,User8174,20.0,Female,Mobile,Bottom,,,1
260,1127,User1127,,,Desktop,,,Afternoon,1
261,3345,User3345,,Male,Desktop,,,Night,1
262,6553,User6553,,,Desktop,Bottom,Education,Morning,1
263,453,User453,,Female,Tablet,Top,Entertainment,Afternoon,1
264,4345,User4345,,,Desktop,Bottom,Education,Afternoon,0
265,6268,User6268,,,Desktop,,,Night,1
266,329,User329,36.0,,Desktop,Top,,Night,0
267,9266,User9266,38.0,,Mobile,,Education,Afternoon,1
268,6917,User6917,,Non-Binary,Mobile,Bottom,,Afternoon,0
269,8561,User8561,52.0,Male,Mobile,Bottom,,Evening,1
270,9448,User9448,,Non-Binary,Mobile,Side,Entertainment,Morning,0
271,7272,User7272,,,Tablet,,News,Afternoon,0
272,234,User234,19.0,,Tablet,Bottom,Social Media,Morning,1
273,255,User255,,,Desktop,Bottom,Entertainment,Night,1
274,2129,User2129,47.0,,Tablet,Bottom,Social Media,Evening,1
275,7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0
276,8515,User8515,,Non-Binary,Mobile,Bottom,,Night,1
277,2173,User2173,,,,Bottom,Shopping,Night,1
278,5571,User5571,,Female,Desktop,Side,,Evening,0
279,9611,User9611,,Male,Desktop,Side,Entertainment,Afternoon,1
280,5737,User5737,29.0,,Desktop,Top,Shopping,Night,0
281,7788,User7788,63.0,Non-Binary,Mobile,Side,,Night,0
282,7471,User7471,,Female,Mobile,Bottom,,Morning,1
283,9811,User9811,,,Mobile,Side,,Morning,0
284,8115,User8115,20.0,Female,Mobile,Top,Social Media,Afternoon,1
285,217,User217,,,Tablet,,Education,Morning,0
286,234,User234,,Female,,,Social Media,Morning,1
287,6864,User6864,,,Desktop,Side,Social Media,Evening,0
288,6462,User6462,36.0,,Tablet,Side,Education,Evening,1
289,1214,User1214,26.0,Female,Mobile,Bottom,News,Evening,1
290,3543,User3543,55.0,,,Top,,Night,1
291,7214,User7214,62.0,Non-Binary,Mobile,,Education,,0
292,3236,User3236,56.0,Female,Mobile,Bottom,Education,Morning,1
293,8957,User8957,,,,Top,,Morning,1
294,1214,User1214,26.0,Female,Mobile,,,Evening,1
295,6576,User6576,62.0,Female,Desktop,Bottom,Entertainment,Morning,1
296,6602,User6602,,Female,Desktop,,,,1
297,9400,User9400,,,Mobile,Side,Education,,1
298,5501,User5501,28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
299,5084,User5084,,Non-Binary,Tablet,Side,,,1
300,1020,User1020,,,,Side,,Morning,1
301,9618,User9618,,Non-Binary,Desktop,,Education,Morning,0
302,4228,User4228,,,Desktop,Side,,Morning,1
303,7659,User7659,19.0,,Mobile,Top,News,Night,0
304,2003,User2003,,,Desktop,Bottom,News,Afternoon,0
305,9736,User9736,46.0,,,,Education,,1
306,487,User487,28.0,Male,Mobile,Side,,Afternoon,1
307,4429,User4429,,,,Top,Entertainment,Morning,1
308,998,User998,,,Tablet,Top,,Evening,1
309,8226,User8226,,,Tablet,,,Morning,1
310,9220,User9220,21.0,Female,Mobile,Side,,Night,1
311,1420,User1420,62.0,Non-Binary,Desktop,,,Morning,1
312,2485,User2485,,Non-Binary,Mobile,Bottom,News,,1
313,4841,User4841,21.0,Female,,Side,Education,Evening,0
314,8316,User8316,,Male,Desktop,Bottom,,,0
315,3601,User3601,,Non-Binary,Mobile,Bottom,Entertainment,,1
316,9290,User9290,61.0,,Desktop,Bottom,,,1
317,5258,User5258,50.0,Non-Binary,Desktop,Side,Education,Night,0
318,9431,User9431,,Male,Mobile,Top,,Afternoon,1
319,885,User885,49.0,,Tablet,Side,,Afternoon,0
320,7866,User7866,,,Mobile,,Social Media,Morning,1
321,1110,User1110,43.0,,Mobile,Side,Entertainment,,0
322,1539,User1539,43.0,,Mobile,Bottom,Education,Evening,1
323,2722,User2722,39.0,,Desktop,Top,,Evening,1
324,5890,User5890,56.0,Female,Mobile,Bottom,News,Night,1
325,5062,User5062,,Male,Tablet,Bottom,,Night,0
326,6125,User6125,18.0,,,,,Afternoon,0
327,2964,User2964,40.0,Non-Binary,Mobile,Side,,,1
328,6573,User6573,55.0,Non-Binary,Desktop,Side,,Evening,1
329,2133,User2133,,,Tablet,Side,Shopping,,0
330,3014,User3014,,,Mobile,Top,,,1
331,6619,User6619,36.0,,Tablet,Bottom,Social Media,Evening,0
332,579,User579,,,Tablet,Side,Entertainment,Evening,0
333,3938,User3938,,Male,Mobile,,,,1
334,949,User949,,,Desktop,Top,Social Media,Morning,0
335,6145,User6145,,Female,,Side,Education,Evening,0
336,9075,User9075,36.0,Female,Mobile,,,,1
337,3658,User3658,,,,Side,Shopping,Night,1
338,7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,,1
339,6602,User6602,,,Desktop,Side,,Night,1
340,2760,User2760,55.0,,,Top,,Morning,0
341,4616,User4616,,Female,,Side,,Evening,0
342,1503,User1503,19.0,Female,Tablet,Side,,Afternoon,1
343,9550,User9550,58.0,,Desktop,Top,Education,Afternoon,1
344,9227,User9227,,Non-Binary,,Side,,,1
345,5522,User5522,19.0,,Desktop,Bottom,,Night,0
346,7438,User7438,,Non-Binary,,Side,News,Morning,1
347,5733,User5733,,,Mobile,Bottom,,Morning,0
348,4957,User4957,58.0,Male,,Bottom,Social Media,Evening,1
349,6771,User6771,,,,Side,,Morning,1
350,8442,User8442,54.0,,Tablet,Bottom,News,Evening,0
351,393,User393,,,Desktop,Bottom,Shopping,Morning,1
352,8252,User8252,,Male,,Side,,Night,1
353,8947,User8947,22.0,Male,,,Entertainment,,1
354,6423,User6423,,,Tablet,Side,Shopping,Afternoon,0
355,670,User670,22.0,,Desktop,,Shopping,Afternoon,1
356,9245,User9245,,,Tablet,Top,Education,Morning,0
357,3232,User3232,22.0,,Tablet,Bottom,,Night,0
358,6479,User6479,,Male,Tablet,Side,,Afternoon,1
359,8226,User8226,,Male,Tablet,Top,,,1
360,4254,User4254,19.0,Male,Desktop,Bottom,,Afternoon,1
361,1099,User1099,36.0,Male,Tablet,Top,Shopping,Night,0
362,3641,User3641,,,Tablet,,,Night,1
363,3014,User3014,,,Mobile,Top,,Afternoon,1
364,2964,User2964,40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
365,9807,User9807,35.0,Non-Binary,Tablet,Bottom,Education,Night,1
366,9806,User9806,58.0,Male,,Bottom,,Evening,1
367,6883,User6883,32.0,Male,Desktop,Side,News,Afternoon,0
368,1470,User1470,25.0,Male,Tablet,Top,Social Media,Evening,0
369,645,User645,,,Tablet,Side,,Morning,0
370,4015,User4015,,Male,,Side,,,1
371,8208,User8208,,Female,Tablet,Top,Education,Evening,1
372,5425,User5425,,,Mobile,Side,Entertainment,Afternoon,1
373,4874,User4874,,Male,Mobile,,News,,0
374,1914,User1914,,Male,,Bottom,Shopping,,1
375,4950,User4950,28.0,Male,Mobile,,,Morning,1
376,24,User24,,,Tablet,Side,,,1
377,7450,User7450,,,Desktop,Side,News,Night,1
378,2019,User2019,42.0,,Tablet,Top,,Night,0
379,1446,User1446,,,Desktop,Bottom,News,Night,1
380,7750,User7750,46.0,,Mobile,Side,Social Media,Morning,1
381,2337,User2337,40.0,Male,Desktop,Top,Entertainment,,1
382,4178,User4178,41.0,Male,,Top,,Morning,0
383,6487,User6487,19.0,Male,,Side,,,1
384,3057,User3057,,Female,,Top,Entertainment,Afternoon,0
385,6765,User6765,46.0,Female,,,Entertainment,Morning,1
386,5193,User5193,50.0,Female,Desktop,,Education,Afternoon,1
387,6906,User6906,,Non-Binary,Mobile,Top,,,1
388,2555,User2555,,Non-Binary,Tablet,,News,,1
389,4773,User4773,59.0,Male,Desktop,Top,Entertainment,,0
390,6438,User6438,53.0,Non-Binary,,,Shopping,Night,1
391,9128,User9128,,,,Top,,Morning,0
392,9075,User9075,36.0,Female,Mobile,,,Night,1
393,8372,User8372,52.0,,Desktop,Top,,Afternoon,0
394,400,User400,52.0,Non-Binary,Tablet,Side,,Evening,1
395,8334,User8334,,Male,Desktop,Top,,Evening,0
396,1965,User1965,,,Tablet,,Shopping,Morning,0
397,5403,User5403,61.0,Male,Desktop,Top,Education,Night,0
398,3333,User3333,30.0,Male,Tablet,Top,,Evening,1
399,5501,User5501,28.0,Non-Binary,Mobile,Bottom,,,1
400,9617,User9617,63.0,,Tablet,,Shopping,,1
401,7792,User7792,,Male,Mobile,Bottom,,Evening,0
402,3708,User3708,43.0,Male,Desktop,Top,,Evening,0
403,3280,User3280,29.0,,Tablet,Side,,Morning,0
404,2529,User2529,,,Desktop,Top,,Afternoon,1
405,8832,User8832,49.0,,Tablet,Side,,Night,1
406,5945,User5945,42.0,Male,Desktop,Side,,,0
407,9723,User9723,,Female,Mobile,Side,,Evening,1
408,6268,User6268,,,Desktop,Top,,Night,1
409,5664,User5664,32.0,Male,Mobile,Top,,,0
410,6268,User6268,,,Desktop,Top,,Night,1
411,1945,User1945,20.0,,Tablet,Side,Entertainment,,1
412,8058,User8058,25.0,,Mobile,,,Afternoon,0
413,560,User560,,,Desktop,Side,Social Media,Morning,0
414,9806,User9806,58.0,Male,Tablet,Bottom,,,1
415,3299,User3299,44.0,Non-Binary,Tablet,Side,,Evening,1
416,2336,User2336,32.0,,Tablet,Side,,Morning,1
417,7466,User7466,47.0,,Mobile,Bottom,Shopping,Afternoon,1
418,4587,User4587,,,Tablet,Top,,,0
419,1369,User1369,,,,,Social Media,Morning,1
420,7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
421,9162,User9162,,,Mobile,Top,,Night,0
422,1325,User1325,,,Desktop,Side,,Evening,1
423,5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
424,373,User373,34.0,Female,Mobile,,Education,Evening,1
425,1148,User1148,25.0,,Mobile,Bottom,,,1
426,6167,User6167,20.0,Male,Mobile,Side,,Night,1
427,5276,User5276,,,Tablet,Side,Shopping,Afternoon,1
428,5338,User5338,51.0,Male,Mobile,Top,Social Media,Morning,1
429,6462,User6462,,,Tablet,Side,Education,Evening,1
430,9266,User9266,38.0,,Mobile,,Education,Afternoon,1
431,1540,User1540,45.0,,Tablet,Top,,Evening,0
432,1190,User1190,,Non-Binary,,,Education,Morning,1
433,6188,User6188,20.0,,,Bottom,Entertainment,Morning,1
434,7988,User7988,,,Mobile,Bottom,News,Evening,0
435,9789,User9789,,,Tablet,,,Morning,1
436,346,User346,29.0,Male,Mobile,Top,News,Evening,0
437,5756,User5756,51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
438,6160,User6160,,,Tablet,,,Evening,0
439,1549,User1549,56.0,,Desktop,Top,,Afternoon,1
440,6980,User6980,62.0,,,Bottom,Social Media,Night,1
441,1077,User1077,,Non-Binary,,Top,,Afternoon,1
442,5951,User5951,41.0,Female,Tablet,Top,,Evening,0
443,5193,User5193,50.0,Female,Desktop,,Education,,1
444,7526,User7526,,,,Side,,Evening,1
445,8956,User8956,,Male,Tablet,Top,,Morning,1
446,1601,User1601,41.0,,Tablet,Top,Education,Morning,0
447,3906,User3906,,Non-Binary,Tablet,Bottom,,Evening,1
448,8189,User8189,,,Tablet,Top,Shopping,,0
449,8190,User8190,26.0,,Mobile,Side,,,1
450,7973,User7973,28.0,,Mobile,Bottom,,Morning,1
451,5629,User5629,,,Tablet,Top,,,1
452,4015,User4015,44.0,Male,Tablet,Side,,Evening,1
453,1305,User1305,,Female,Tablet,Top,News,Night,1
454,6880,User6880,,Female,Mobile,Side,News,Night,1
455,2650,User2650,53.0,,Desktop,Side,,Morning,0
456,4236,User4236,51.0,,Desktop,Bottom,,Night,0
457,9173,User9173,49.0,,Desktop,Side,Education,Evening,0
458,2913,User2913,57.0,Non-Binary,Mobile,Side,Social Media,,1
459,6161,User6161,,Female,,Bottom,,Afternoon,1
460,5766,User5766,63.0,Male,Desktop,Side,Social Media,Evening,1
461,5566,User5566,,Non-Binary,Mobile,,Social Media,Morning,1
462,1141,User1141,37.0,,Desktop,,,Afternoon,1
463,393,User393,,,Desktop,Bottom,Shopping,,1
464,1077,User1077,,Non-Binary,Desktop,,,Afternoon,1
465,3759,User3759,,,Mobile,Top,,,0
466,3854,User3854,56.0,,Tablet,Bottom,Social Media,Afternoon,1
467,5425,User5425,,Non-Binary,Mobile,,Entertainment,Afternoon,1
468,7438,User7438,53.0,Non-Binary,Mobile,Side,News,Morning,1
469,9231,User9231,21.0,,Desktop,Top,Shopping,,1
